Title,Author,Rating,Genres
"The Lincoln Lawyer (The Lincoln Lawyer, #1; Harry Bosch Universe, #16)",Michael    Connelly,4.21,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Legal Thriller', 'Audiobook']"
You've Reached Sam,Dustin Thao,3.62,"['Romance', 'Young Adult', 'Contemporary', 'Fiction', 'Fantasy', 'Magical Realism', 'Audiobook']"
We'll Always Have Summer (Summer #3),Jenny Han,3.79,"['Romance', 'Young Adult', 'Contemporary', 'Audiobook', 'Fiction', 'Young Adult Romance', 'Chick Lit']"
"Daddy-Long-Legs (Daddy-Long-Legs, #1)",Jean Webster,4.14,"['Fiction', 'Young Adult', 'Romance', 'Classics', 'Historical Fiction', 'Childrens', 'Novels']"
Since You've Been Gone,Morgan Matson,4.07,"['Young Adult', 'Contemporary', 'Romance', 'Fiction', 'Young Adult Contemporary', 'Realistic Fiction', 'Audiobook']"
"White Hot Kiss (The Dark Elements, #1)",Jennifer L. Armentrout,4.17,"['Fantasy', 'Romance', 'Young Adult', 'Paranormal', 'Demons', 'Paranormal Romance', 'Urban Fantasy']"
Hotel on the Corner of Bitter and Sweet,Jamie Ford,4.04,"['Historical Fiction', 'Fiction', 'Romance', 'Historical', 'World War II', 'Book Club', 'Audiobook']"
"Steelheart (The Reckoners, #1)",Brandon Sanderson,4.14,"['Fantasy', 'Young Adult', 'Science Fiction', 'Fiction', 'Dystopia', 'Audiobook', 'Urban Fantasy']"
سیمای شکسته پدر سالار,سید مرتضی مصطفوی,3.30,[]
Death in Venice,Thomas Mann,3.74,"['Classics', 'Fiction', 'Historical', 'Cultural', 'German Literature', 'Nobel Prize', 'Novella']"
"One Thousand White Women: The Journals of May Dodd (One Thousand White Women, #1)",Jim Fergus,3.91,"['Historical Fiction', 'Fiction', 'Historical', 'Book Club', 'Westerns', 'Native American', 'Adult']"
"The Grand Delusion (Manufactured Identity, #2)",Heath Sommer,4.17,"['Mystery', 'Psychology', 'Fiction']"
The Rules of Attraction,Bret Easton Ellis,3.72,"['Fiction', 'Contemporary', 'Novels', 'LGBT', 'Literary Fiction', 'American', 'Literature']"
"These Happy Golden Years (Little House, #8)",Laura Ingalls Wilder,4.21,"['Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade']"
Heart of Darkness and The Secret Sharer,Joseph Conrad,3.51,"['Classics', 'Fiction', 'Literature', 'School', 'Africa', 'Historical Fiction', 'Novels']"
"A Wild Sheep Chase (The Rat, #3)",Haruki Murakami,3.94,"['Fiction', 'Japan', 'Magical Realism', 'Japanese Literature', 'Fantasy', 'Contemporary', 'Novels']"
Kürk Mantolu Madonna,Sabahattin Ali,4.41,"['Fiction', 'Turkish Literature', 'Turkish', 'Romance', 'Historical Fiction', 'Literature', 'Roman']"
The Odd and The Strange: A Collection of Very Short Fiction,Harvey Havel,4.33,"['Fiction', 'Contemporary', 'Epic', 'Drama', 'Novels']"
ثلاثية غرناطة,Radwa Ashour,4.29,"['Novels', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'Classics', 'Egypt']"
"Bitterblue (Graceling Realm, #3)",Kristin Cashore,real,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Young Adult Fantasy', 'High Fantasy', 'Magic']"
The Doors of Perception & Heaven and Hell,Aldous Huxley,3.91,"['Philosophy', 'Nonfiction', 'Psychology', 'Classics', 'Essays', 'Spirituality', 'Science']"
The Light We Carry: Overcoming in Uncertain Times,Michelle Obama,4.27,"['Nonfiction', 'Memoir', 'Audiobook', 'Biography', 'Self Help', 'Biography Memoir', 'Politics']"
"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)",Alan Bradley,3.82,"['Mystery', 'Fiction', 'Historical Fiction', 'Audiobook', 'Young Adult', 'Mystery Thriller', 'Crime']"
"A Million Suns (Across the Universe, #2)",Beth Revis,4.01,"['Young Adult', 'Science Fiction', 'Dystopia', 'Romance', 'Fantasy', 'Fiction', 'Mystery']"
Every Last Word,Tamara Ireland Stone,4.22,"['Young Adult', 'Romance', 'Contemporary', 'Mental Health', 'Fiction', 'Mental Illness', 'Realistic Fiction']"
Marina,Carlos Ruiz Zafón,4.13,"['Fiction', 'Mystery', 'Fantasy', 'Young Adult', 'Horror', 'Gothic', 'Historical Fiction']"
The Boy From Block 66: A WW2 Jewish Holocaust Survival True Story (Heroic Children of World War II Book 1),Limor Regev,4.46,"['History', 'Holocaust', 'World War II', 'Nonfiction', 'True Story', 'Biography', 'Historical']"
"Our Blue Orange (Godfrey Davis, #1)",A.R. Merrydew,4.23,"['Science Fiction', 'Fiction', 'Time Travel', 'Fantasy', 'Comedy', 'Unfinished', 'Science Fiction Fantasy']"
"It's Not Summer Without You (Summer, #2)",Jenny Han,3.77,"['Romance', 'Young Adult', 'Contemporary', 'Audiobook', 'Fiction', 'Young Adult Romance', 'Chick Lit']"
"Shift (Silo, #2)",Hugh Howey,4.12,"['Science Fiction', 'Fiction', 'Dystopia', 'Post Apocalyptic', 'Audiobook', 'Fantasy', 'Science Fiction Fantasy']"
Avalon High,Meg Cabot,3.81,"['Young Adult', 'Fantasy', 'Romance', 'Fiction', 'Chick Lit', 'Retellings', 'Mythology']"
"Good in Bed (Cannie Shapiro, #1)",Jennifer Weiner,3.76,"['Chick Lit', 'Fiction', 'Romance', 'Contemporary', 'Adult Fiction', 'Adult', 'Humor']"
GOOD BURGER 2 GO: NICKELODEON,Steve Holland,4.16,[]
Brood of the Witch-Queen,Sax Rohmer,3.42,"['Horror', 'Fantasy', 'Fiction', 'Mystery', 'Classics', 'Paranormal', 'Gothic']"
A Man with A White Shadow,Vikram Suryawanshi,4.66,"['Fiction', 'India', 'Philosophy', 'Indian Literature', 'Contemporary']"
The 7 1/2 Deaths of Evelyn Hardcastle,Stuart Turton,3.80,"['Mystery', 'Fiction', 'Thriller', 'Fantasy', 'Mystery Thriller', 'Audiobook', 'Crime']"
The Longest Ride,Nicholas Sparks,4.17,"['Romance', 'Fiction', 'Contemporary', 'Chick Lit', 'Audiobook', 'Adult', 'Contemporary Romance']"
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,4.38,"['Nonfiction', 'Psychology', 'Self Help', 'Mental Health', 'Health', 'Science', 'Audiobook']"
The Discovery of Heaven,Harry Mulisch,4.17,"['Fiction', 'Classics', 'Dutch Literature', 'Literature', 'Philosophy', 'Roman', 'Fantasy']"
When Nietzsche Wept,Irvin D. Yalom,4.36,"['Psychology', 'Fiction', 'Philosophy', 'Historical Fiction', 'Novels', 'Literature', 'Classics']"
From Sand and Ash,Amy Harmon,4.38,"['Historical Fiction', 'Romance', 'Fiction', 'Historical', 'War', 'World War II', 'Historical Romance']"
"Dark Visions (Dark Visions, #1-3)",L.J. Smith,4.18,"['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Supernatural', 'Vampires', 'Paranormal Romance']"
"Wolves of the Calla (The Dark Tower, #5)",Stephen        King,4.20,"['Fantasy', 'Fiction', 'Horror', 'Science Fiction', 'Audiobook', 'Westerns', 'Adventure']"
The Halloween Tree,Ray Bradbury,3.77,"['Fantasy', 'Horror', 'Fiction', 'Halloween', 'Classics', 'Young Adult', 'Audiobook']"
Sour Candy,Kealan Patrick Burke,3.64,"['Horror', 'Novella', 'Fiction', 'Short Stories', 'Thriller', 'Adult', 'Paranormal']"
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,4.28,"['History', 'Nonfiction', 'Biography', 'Politics', 'American History', 'Civil War', 'Presidents']"
The Shadow Sect (Netherdei #1),Peter Hackshaw,4.14,"['Fantasy', 'Audiobook', 'Science Fiction Fantasy', 'Magic', 'Fiction', 'Young Adult']"
"The Orb of Truth (The Horn King, #1)",Brae Wyckoff,3.76,"['Fantasy', 'Fiction', 'Christian', 'Christian Fiction', 'Science Fiction Fantasy', 'High Fantasy', 'Epic Fantasy']"
"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)",Douglas Adams,3.96,"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Comedy', 'Science Fiction Fantasy', 'Audiobook']"
"Metro 2033 (Metro, #1)",Dmitry Glukhovsky,4.02,"['Science Fiction', 'Fiction', 'Horror', 'Post Apocalyptic', 'Dystopia', 'Fantasy', 'Russia']"
"Serpent & Dove (Serpent & Dove, #1)",Shelby Mahurin,3.98,"['Young Adult', 'Witches', 'Magic', 'Young Adult Fantasy', 'Fiction', 'Fantasy Romance', 'Audiobook']"
Raintree County,Ross Lockridge Jr.,3.98,"['Fiction', 'Historical Fiction', 'Classics', 'Novels', 'Civil War', 'Romance', 'War']"
Lucky,Alice Sebold,3.77,"['Nonfiction', 'Memoir', 'Biography', 'True Crime', 'Biography Memoir', 'Autobiography', 'Adult']"
The Crimson Petal and the White,Michel Faber,3.89,"['Historical Fiction', 'Fiction', 'Historical', 'Victorian', 'Romance', 'British Literature', 'Literary Fiction']"
The Island of Dr. Moreau,H.G. Wells,3.73,"['Classics', 'Science Fiction', 'Fiction', 'Horror', 'Fantasy', 'Audiobook', 'Literature']"
"Supernova (Renegades, #3)",Marissa Meyer,4.39,"['Fantasy', 'Young Adult', 'Science Fiction', 'Dystopia', 'Audiobook', 'Fiction', 'Superheroes']"
Divergent Mind: Thriving in a World That Wasn't Designed for You,Jenara Nerenberg,3.84,"['Nonfiction', 'Psychology', 'Autistic Spectrum Disorder', 'Mental Health', 'Self Help', 'Adhd', 'Audiobook']"
"Imagine Me (Shatter Me, #6)",Tahereh Mafi,real,"['Fantasy', 'Dystopia', 'Romance', 'Young Adult', 'Science Fiction', 'Fiction', 'Audiobook']"
"Baby (Species Intervention #6609, #1)",J.K. Accinni,3.82,"['Science Fiction', 'Horror', 'Aliens', 'Fantasy', 'Thriller', 'Dystopia', 'Paranormal']"
"Soul Music (Discworld, #16; Death, #3)",Terry Pratchett,4.06,"['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'Music']"
"Queen of Air and Darkness (The Dark Artifices, #3)",Cassandra Clare,4.33,"['Fantasy', 'Young Adult', 'Romance', 'Urban Fantasy', 'Paranormal', 'Young Adult Fantasy', 'Fiction']"
The Statistical Probability of Love at First Sight,Jennifer E. Smith,3.75,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Chick Lit', 'Realistic Fiction', 'Young Adult Contemporary']"
Just Mercy,Bryan Stevenson,4.63,"['Nonfiction', 'Memoir', 'Social Justice', 'Race', 'Audiobook', 'Politics', 'History']"
"Gideon the Ninth (The Locked Tomb, #1)",Tamsyn Muir,4.21,"['Fantasy', 'Science Fiction', 'Fiction', 'LGBT', 'Queer', 'Horror', 'Audiobook']"
"Missing Wings (Aranysargas, #1)",Andrea Luhman,4.29,"['Fantasy', 'Romance', 'Fantasy Romance', 'High Fantasy', 'Fiction', 'Epic Fantasy', 'Angels']"
"Circus of the Damned (Anita Blake, Vampire Hunter, #3)",Laurell K. Hamilton,4.17,"['Urban Fantasy', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Horror', 'Paranormal Romance']"
"Captive Prince: Volume Two (Captive Prince, #2)",C.S. Pacat,4.37,"['Fantasy', 'LGBT', 'M M Romance', 'Queer', 'Adult', 'Fiction', 'Historical']"
Survivor Song,Paul Tremblay,3.62,"['Horror', 'Fiction', 'Thriller', 'Zombies', 'Audiobook', 'Science Fiction', 'Adult']"
"A Hunger Like No Other (Immortals After Dark, #1)",Kresley Cole,4.09,"['Paranormal', 'Paranormal Romance', 'Vampires', 'Fantasy', 'Urban Fantasy', 'Adult', 'Werewolves']"
"The City of Light (Whiteout, #4)",Flint Maxwell,4.21,"['Horror', 'Audiobook', 'Dystopia', 'Supernatural', 'Fiction', 'Post Apocalyptic']"
The Zahir,Paulo Coelho,3.58,"['Fiction', 'Novels', 'Philosophy', 'Contemporary', 'Romance', 'Spirituality', 'Literature']"
"Significance (Significance, #1)",Shelly Crane,4.09,"['Paranormal', 'Romance', 'Young Adult', 'Fantasy', 'Paranormal Romance', 'Supernatural', 'New Adult']"
Om Chanting and Meditation,Amit Ray,3.91,"['Spirituality', 'Self Help', 'Inspirational', 'Religion', 'Nonfiction', 'Hinduism']"
"The Eternity Code (Artemis Fowl, #3)",Eoin Colfer,4.05,"['Fantasy', 'Young Adult', 'Fiction', 'Middle Grade', 'Science Fiction', 'Adventure', 'Childrens']"
"The Mysterious Benedict Society and the Perilous Journey (The Mysterious Benedict Society, #2)",Trenton Lee Stewart,4.21,"['Mystery', 'Fiction', 'Middle Grade', 'Young Adult', 'Adventure', 'Fantasy', 'Childrens']"
"Night Play (Dark-Hunter, #5; Were-Hunter, #1)",Sherrilyn Kenyon,4.34,"['Paranormal Romance', 'Paranormal', 'Romance', 'Fantasy', 'Vampires', 'Urban Fantasy', 'Shapeshifters']"
"Fullmetal Alchemist, Vol. 1",Hiromu Arakawa,4.53,"['Manga', 'Fantasy', 'Graphic Novels', 'Comics', 'Fiction', 'Young Adult', 'Science Fiction']"
"Wyrd Sisters (Discworld, #6; Witches, #2)",Terry Pratchett,4.16,"['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Witches', 'Audiobook', 'Science Fiction Fantasy']"
"The Sword in the Stone (The Once and Future King, #1)",T.H. White,3.89,"['Fantasy', 'Classics', 'Fiction', 'Historical Fiction', 'Arthurian', 'Childrens', 'Young Adult']"
The Rose Code,Kate Quinn,4.45,"['Historical Fiction', 'Fiction', 'Audiobook', 'Historical', 'World War II', 'Mystery', 'War']"
Presence: Bringing Your Boldest Self to Your Biggest Challenges,Amy Cuddy,3.90,"['Nonfiction', 'Psychology', 'Self Help', 'Business', 'Personal Development', 'Leadership', 'Audiobook']"
Under the Volcano,Malcolm Lowry,3.76,"['Fiction', 'Classics', 'Literature', 'Novels', 'Historical Fiction', '20th Century', 'British Literature']"
"Our Violent Ends (These Violent Delights, #2)",Chloe Gong,4.30,"['Fantasy', 'Romance', 'Historical Fiction', 'Young Adult', 'Retellings', 'Historical', 'Fiction']"
The Bachman Books,Richard Bachman,4.14,"['Horror', 'Fiction', 'Short Stories', 'Thriller', 'Science Fiction', 'Fantasy', 'Suspense']"
A Hero of Our Time,Mikhail Lermontov,4.11,"['Classics', 'Fiction', 'Russia', 'Russian Literature', 'Literature', '19th Century', 'Novels']"
A Stolen Life,Jaycee Dugard,3.95,"['Nonfiction', 'Memoir', 'True Crime', 'Biography', 'Audiobook', 'Autobiography', 'Crime']"
"The Oresteia: Agamemnon, The Libation Bearers, The Eumenides",Aeschylus,4.01,"['Plays', 'Fiction', 'Mythology', 'Poetry', 'Literature', 'Theatre', 'Classics']"
"Unsouled (Cradle, #1)",Will Wight,4.16,"['Fantasy', 'Fiction', 'Audiobook', 'Young Adult', 'High Fantasy', 'Magic', 'Epic Fantasy']"
"Rilla of Ingleside (Anne of Green Gables, #8)",L.M. Montgomery,4.24,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Romance', 'Childrens', 'Historical']"
Brida,Paulo Coelho,3.50,"['Fiction', 'Fantasy', 'Philosophy', 'Romance', 'Novels', 'Spirituality', 'Magical Realism']"
"Nightfall (Keeper of the Lost Cities, #6)",Shannon Messenger,4.54,"['Fantasy', 'Middle Grade', 'Fiction', 'Young Adult', 'Adventure', 'Romance', 'Magic']"
"The Cabinet of Curiosities (Pendergast, #3; Nora Kelly, #0B)",Douglas Preston,4.27,"['Mystery', 'Thriller', 'Fiction', 'Horror', 'Mystery Thriller', 'Suspense', 'Crime']"
"To Kill a Kingdom (Hundred Kingdoms, #1)",Alexandra Christo,3.73,"['Fantasy', 'Young Adult', 'Romance', 'Retellings', 'Young Adult Fantasy', 'Pirates', 'Fiction']"
"Cirque du Freak: A Living Nightmare (Cirque du Freak, #1)",Darren Shan,4.08,"['Fantasy', 'Horror', 'Young Adult', 'Vampires', 'Fiction', 'Paranormal', 'Supernatural']"
"Ronia, the Robber's Daughter",Astrid Lindgren,4.31,"['Fantasy', 'Childrens', 'Classics', 'Fiction', 'Swedish Literature', 'Middle Grade', 'Adventure']"
Dead Poets Society,N.H. Kleinbaum,4.17,"['Fiction', 'Young Adult', 'Contemporary', 'Poetry', 'Coming Of Age', 'Novels', 'Drama']"
Woke Up Like This,Amy  Lea,4.02,"['Romance', 'Young Adult', 'Fiction', 'Time Travel', 'Contemporary', 'Audiobook', 'Chick Lit']"
"Master & Commander (Aubrey & Maturin, #1)",Patrick O'Brian,4.07,"['Historical Fiction', 'Fiction', 'Historical', 'Adventure', 'Classics', 'Audiobook', 'War']"
"Out of Sight, Out of Time (Gallagher Girls, #5)",Ally Carter,4.33,"['Young Adult', 'Mystery', 'Romance', 'Contemporary', 'Espionage', 'Fiction', 'Adventure']"
"Smile (Smile, #1)",Raina Telgemeier,4.23,"['Graphic Novels', 'Middle Grade', 'Young Adult', 'Realistic Fiction', 'Fiction', 'Childrens', 'Contemporary']"
Plain Truth,Jodi Picoult,real,"['Fiction', 'Mystery', 'Contemporary', 'Chick Lit', 'Amish', 'Adult Fiction', 'Drama']"
The Mummy (Ramses the Damned #1),Anne Rice,3.86,"['Horror', 'Fantasy', 'Fiction', 'Paranormal', 'Supernatural', 'Historical Fiction', 'Romance']"
"Ask the Dust (The Saga of Arturo Bandini, #3)",John Fante,4.10,"['Fiction', 'Classics', 'Novels', 'American', 'Literature', 'The United States Of America', 'Romance']"
The Bookseller of Kabul,Åsne Seierstad,3.77,"['Nonfiction', 'Biography', 'Memoir', 'History', 'Travel', 'Books About Books', 'Asia']"
The Solitaire Mystery,Jostein Gaarder,4.18,"['Fiction', 'Philosophy', 'Fantasy', 'Young Adult', 'Mystery', 'Novels', 'Magical Realism']"
The War of the End of the World,Mario Vargas Llosa,4.24,"['Fiction', 'Historical Fiction', 'Literature', 'Novels', 'Latin American', 'Nobel Prize', 'Classics']"
"Love on the Line 2 (Women at Work, #2)",Kirsten Fullmer,4.30,"['Young Adult Romance', 'Love Story', 'Realistic Fiction', 'Drama', 'Fiction', 'Love', 'Romance']"
"First Test (Protector of the Small, #1)",Tamora Pierce,4.25,"['Fantasy', 'Young Adult', 'Fiction', 'Young Adult Fantasy', 'Magic', 'Adventure', 'Middle Grade']"
"The Burning Bridge (Ranger's Apprentice, #2)",John Flanagan,4.31,"['Fantasy', 'Young Adult', 'Fiction', 'Adventure', 'Middle Grade', 'Audiobook', 'Childrens']"
"Raise High the Roof Beam, Carpenters & Seymour: An Introduction",J.D. Salinger,4.11,"['Fiction', 'Classics', 'Short Stories', 'Literature', 'American', 'Novels', 'Literary Fiction']"
"The Body Farm (Kay Scarpetta, #5)",Patricia Cornwell,4.07,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Murder Mystery']"
Between the World and Me,Ta-Nehisi Coates,4.40,"['Nonfiction', 'Memoir', 'Race', 'Audiobook', 'History', 'Social Justice', 'Biography']"
"Seduced in the Dark (The Dark Duet, #2)",C.J. Roberts,4.27,"['Dark', 'Romance', 'BDSM', 'Erotica', 'Adult', 'Abuse', 'Contemporary']"
One Moment in Time,Shari Low,4.18,"['Fiction', 'Action', 'Young Adult', 'Teen', 'Adventure', 'Novels', 'Romance']"
Sunshine,Robin McKinley,3.84,"['Fantasy', 'Vampires', 'Urban Fantasy', 'Paranormal', 'Fiction', 'Horror', 'Young Adult']"
"Reckless (The Powerless Trilogy, #2)",Lauren  Roberts,4.07,"['Fantasy', 'Romance', 'Romantasy', 'Young Adult', 'Fantasy Romance', 'Audiobook', 'Fiction']"
Go Tell It on the Mountain,James Baldwin,4.05,"['Fiction', 'Classics', 'African American', 'Race', 'Literature', 'Religion', 'Novels']"
"Dorothy Must Die (Dorothy Must Die, #1)",Danielle  Paige,3.80,"['Young Adult', 'Retellings', 'Magic', 'Audiobook', 'Adventure', 'Fairy Tales', 'Young Adult Fantasy']"
"The Naming (The Books of Pellinor, #1)",Alison Croggon,4.03,"['Fantasy', 'Young Adult', 'Fiction', 'High Fantasy', 'Magic', 'Young Adult Fantasy', 'Adventure']"
"Hometown Girl at Heart (Hometown, #1)",Kirsten Fullmer,4.30,"['Romance', 'Fiction', 'Contemporary', 'New Adult', 'Contemporary Romance', 'Young Adult', 'Love Story']"
"Life After Life (Todd Family, #1)",Kate Atkinson,3.78,"['Fiction', 'Historical Fiction', 'Fantasy', 'Historical', 'Time Travel', 'Audiobook', 'Literary Fiction']"
"South of the Border, West of the Sun",Haruki Murakami,3.86,"['Fiction', 'Japanese Literature', 'Romance', 'Contemporary', 'Magical Realism', 'Novels', 'Literature']"
"Memories of Ice (Malazan Book of the Fallen, #3)",Steven Erikson,4.46,"['Fantasy', 'Epic Fantasy', 'Fiction', 'High Fantasy', 'Epic', 'Dark Fantasy', 'Audiobook']"
The Trial of Joe Harlan Junior (Talion #0.5),J.K. Franko,4.33,"['Fiction', 'Thriller']"
The Castle,Franz Kafka,3.93,"['Fiction', 'Literature', 'German Literature', 'Philosophy', 'Classics', 'Novels', 'Czech Literature']"
The Companions,Cade Mengler,4.38,"['Contemporary', 'Drama', 'Novels']"
The Power of Dao: A Timeless Guide to Happiness and Harmony,Lou Marinoff,4.27,"['Philosophy', 'Nonfiction', 'Self Help', 'Psychology']"
"Home: Habitat, Range, Niche, Territory (The Murderbot Diaries, #4.5)",Martha Wells,4.10,"['Science Fiction', 'Short Stories', 'Fiction', 'Adult', 'Science Fiction Fantasy', 'Novella', 'Space']"
"Things I Wanted to Say, But Never Did (Lancaster Prep, #1)",Monica  Murphy,3.60,"['Romance', 'High School', 'Dark', 'Contemporary', 'New Adult', 'Contemporary Romance', 'Fiction']"
"A Knight in Shining Armor (Montgomery/Taggert Family, #13)",Jude Deveraux,4.20,"['Romance', 'Time Travel', 'Historical Romance', 'Historical', 'Historical Fiction', 'Fantasy', 'Fiction']"
"Time and Again (Time, #1)",Jack Finney,3.94,"['Time Travel', 'Fiction', 'Science Fiction', 'Historical Fiction', 'Fantasy', 'Romance', 'Mystery']"
"A Torch Against the Night (An Ember in the Ashes, #2)",Sabaa Tahir,4.23,"['Fantasy', 'Young Adult', 'Romance', 'Young Adult Fantasy', 'Audiobook', 'Fiction', 'High Fantasy']"
"The Bone Season (The Bone Season, #1)",Samantha    Shannon,3.82,"['Fantasy', 'Young Adult', 'Dystopia', 'Fiction', 'Science Fiction', 'Paranormal', 'Romance']"
"Saga, Volume 1",Brian K. Vaughan,4.17,"['Graphic Novels', 'Comics', 'Fantasy', 'Science Fiction', 'Fiction', 'Graphic Novels Comics', 'Adult']"
London,Edward Rutherfurd,4.09,"['Historical Fiction', 'Fiction', 'Historical', 'British Literature', 'Novels', 'Travel', 'Audiobook']"
"Vampire Princess Rising (The Winters Family Saga, #2)",Jami Brumfield,4.38,"['Vampires', 'Witches', 'Angels', 'Werewolves', 'Paranormal', 'Magic', 'Paranormal Romance']"
"Wake (Wake, #1)",Lisa McMann,3.75,"['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Fiction', 'Supernatural', 'Mystery']"
Attachments,Rainbow Rowell,3.87,"['Romance', 'Fiction', 'Contemporary', 'Chick Lit', 'Adult', 'Young Adult', 'Adult Fiction']"
The Killer Inside Me,Jim Thompson,3.86,"['Fiction', 'Crime', 'Mystery', 'Noir', 'Thriller', 'Horror', 'Classics']"
The Stars My Destination,Alfred Bester,4.06,"['Science Fiction', 'Fiction', 'Classics', 'Cyberpunk', 'Science Fiction Fantasy', 'Audiobook', 'Space Opera']"
"Amari and the Night Brothers (Supernatural Investigations, #1)",B.B. Alston,4.37,"['Fantasy', 'Middle Grade', 'Audiobook', 'Fiction', 'Mystery', 'Magic', 'Young Adult']"
The Cabin at the End of the World,Paul Tremblay,3.33,"['Horror', 'Fiction', 'Thriller', 'Audiobook', 'Mystery', 'Adult', 'Mystery Thriller']"
History Is All You Left Me,Adam Silvera,3.92,"['Young Adult', 'Contemporary', 'LGBT', 'Romance', 'Queer', 'Fiction', 'Mental Health']"
The Solitude of Prime Numbers,Paolo Giordano,3.64,"['Fiction', 'Contemporary', 'Italian Literature', 'Italy', 'Novels', 'Young Adult', 'Literature']"
The Secret Keeper,Kate Morton,4.16,"['Historical Fiction', 'Fiction', 'Mystery', 'Historical', 'Romance', 'Audiobook', 'Book Club']"
A Simple Favor,Darcey Bell,3.28,"['Thriller', 'Mystery', 'Fiction', 'Audiobook', 'Mystery Thriller', 'Suspense', 'Contemporary']"
The Woods,Harlan Coben,4.06,"['Mystery', 'Thriller', 'Fiction', 'Crime', 'Mystery Thriller', 'Suspense', 'Audiobook']"
"The Golem and the Jinni (The Golem and the Jinni, #1)",Helene Wecker,4.13,"['Fantasy', 'Historical Fiction', 'Fiction', 'Magical Realism', 'Historical', 'Audiobook', 'Mythology']"
In the Miso Soup,Ryū Murakami,3.62,"['Horror', 'Fiction', 'Japan', 'Japanese Literature', 'Thriller', 'Crime', 'Mystery']"
At Swim-Two-Birds,Flann O'Brien,3.85,"['Fiction', 'Classics', 'Ireland', 'Irish Literature', 'Novels', 'Humor', 'Literature']"
"The Name of This Book Is Secret (Secret, #1)",Pseudonymous Bosch,4.07,"['Mystery', 'Fantasy', 'Middle Grade', 'Fiction', 'Young Adult', 'Adventure', 'Childrens']"
"The Atlas Six (The Atlas, #1)",Olivie Blake,3.58,"['Fantasy', 'Fiction', 'Mystery', 'Magic', 'Adult', 'LGBT', 'Audiobook']"
ساق البامبو,سعود السنعوسي,4.21,"['Novels', 'Fiction', 'Literature', 'Contemporary', 'Drama', 'Audiobook', 'Social']"
The Prince and the Pauper,Mark Twain,3.87,"['Classics', 'Fantasy', 'Novels', 'Fiction', 'Historical', 'Young Adult', 'Audiobook']"
"We Should All Be Millionaires: A Woman’s Guide to Earning More, Building Wealth, and Gaining Economic Power",Rachel Rodgers,4.20,"['Nonfiction', 'Business', 'Finance', 'Self Help', 'Audiobook', 'Money', 'Personal Development']"
"Never Too Far (Rosemary Beach, #2; Too Far, #2)",Abbi Glines,4.16,"['Romance', 'New Adult', 'Contemporary', 'Contemporary Romance', 'Young Adult', 'Chick Lit', 'Adult']"
"Fade Out (The Morganville Vampires, #7)",Rachel Caine,4.18,"['Vampires', 'Young Adult', 'Paranormal', 'Fantasy', 'Urban Fantasy', 'Romance', 'Supernatural']"
Cold Comfort Farm,Stella Gibbons,3.88,"['Fiction', 'Classics', 'Humor', 'Historical Fiction', 'British Literature', 'Comedy', 'Literature']"
"Tarzan of the Apes (Tarzan, #1)",Edgar Rice Burroughs,3.90,"['Classics', 'Fiction', 'Adventure', 'Fantasy', 'Africa', 'Pulp', 'Science Fiction']"
"Magyk (Septimus Heap, #1)",Angie Sage,3.86,"['Fantasy', 'Young Adult', 'Middle Grade', 'Fiction', 'Magic', 'Childrens', 'Adventure']"
Stuart Little,E.B. White,3.89,"['Classics', 'Childrens', 'Fiction', 'Fantasy', 'Animals', 'Middle Grade', 'Young Adult']"
"Spells (Wings, #2)",Aprilynne Pike,3.97,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Fairies', 'Fae', 'Fiction']"
"Tree of Aeons (Tree of Aeons, #1)",spaizzzer,4.21,"['Fantasy', 'Magic', 'Fiction', 'Audiobook', 'Demons', 'High Fantasy', 'Unfinished']"
The Search for Mother Missing: A Peek Inside International Adoption (Adoption Books for Adults),Janine Vance,4.49,"['Nonfiction', 'Adoption', 'How To', 'Education', 'History', 'Book Club']"
"The Mysterious Island (Captain Nemo, #3)",Jules Verne,4.13,"['Classics', 'Fiction', 'Science Fiction', 'Adventure', 'Fantasy', 'France', 'Literature']"
"War Storm (Red Queen, #4)",Victoria Aveyard,3.81,"['Fantasy', 'Young Adult', 'Dystopia', 'Romance', 'Fiction', 'Young Adult Fantasy', 'Audiobook']"
