Title,Author,Rating,Genres
One Hundred Years of Solitude,Gabriel García Márquez,4.12,"['Fiction', 'Magical Realism', 'Literature', 'Fantasy', 'Historical Fiction', 'Novels', 'Spanish Literature']"
A Thousand Splendid Suns,Khaled Hosseini,4.44,"['Fiction', 'Historical Fiction', 'Historical', 'Novels', 'Classics', 'War', 'Adult']"
The Princess Bride,William Goldman,4.27,"['Fantasy', 'Fiction', 'Romance', 'Humor', 'Adventure', 'Young Adult', 'Classics']"
The Time Traveler’s Wife,Audrey Niffenegger,real,"['Fiction', 'Romance', 'Fantasy', 'Time Travel', 'Science Fiction', 'Contemporary', 'Adult']"
The Secret Garden,Frances Hodgson Burnett,4.16,"['Fiction', 'Classics', 'Childrens', 'Young Adult', 'Historical Fiction', 'Middle Grade', 'Audiobook']"
The Outsiders,S.E. Hinton,4.13,"['Classics', 'Young Adult', 'Fiction', 'School', 'Read For School', 'Coming Of Age', 'Realistic Fiction']"
1984,George Orwell,4.19,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Politics', 'Novels']"
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.44,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Adult', 'Science Fiction Fantasy', 'Audiobook']"
Little Women,Louisa May Alcott,4.16,"['Fiction', 'Historical Fiction', 'Young Adult', 'Romance', 'Historical', 'Literature', 'Childrens']"
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.98,"['Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Science Fiction', 'Childrens', 'Middle Grade']"
"Harry Potter and the Sorcerer’s Stone (Harry Potter, #1)",J.K. Rowling,4.47,"['Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Audiobook', 'Adventure', 'Novels']"
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,"['Young Adult', 'Fiction', 'Magic', 'Childrens', 'Audiobook', 'Adventure', 'Middle Grade']"
The Odyssey,Homer,3.81,"['Fiction', 'Poetry', 'Mythology', 'Classics', 'Fantasy', 'School', 'Literature']"
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.88,"['Horror', 'Fiction', 'Science Fiction', 'Gothic', 'Fantasy', 'School', 'Literature']"
The Kite Runner,Khaled Hosseini,4.35,"['Fiction', 'Historical Fiction', 'Contemporary', 'Novels', 'Historical', 'School', 'Literature']"
"The Giver (The Giver, #1)",Lois Lowry,4.12,"['Young Adult', 'Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Fantasy', 'School']"
"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.14,"['Fiction', 'Classics', 'Dystopia', 'Science Fiction', 'Feminism', 'Fantasy', 'Adult']"
Where the Wild Things Are,Maurice Sendak,4.25,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Fantasy', 'Adventure', 'Young Adult']"
The Lovely Bones,Alice Sebold,3.86,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Fantasy', 'Crime', 'Thriller']"
The Adventures of Huckleberry Finn,Mark Twain,3.83,"['Fiction', 'Classics', 'Historical Fiction', 'Literature', 'Adventure', 'Young Adult', 'School']"
Green Eggs and Ham,Dr. Seuss,4.31,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Fantasy', 'Humor']"
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Audiobook', 'Middle Grade']"
Life of Pi,Yann Martel,3.94,"['Fiction', 'Fantasy', 'Classics', 'Adventure', 'Magical Realism', 'Novels', 'Literature']"
"Dune (Dune, #1)",Frank Herbert,4.28,"['Science Fiction', 'Fiction', 'Fantasy', 'Audiobook', 'Science Fiction Fantasy', 'Classics', 'Novels']"
A Tale of Two Cities,Charles Dickens,3.87,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'Historical', 'School', 'Novels']"
Lolita,Vladimir Nabokov,3.88,"['Fiction', 'Literature', 'Russia', 'Novels', 'Romance', 'Russian Literature', 'Literary Fiction']"
Slaughterhouse-Five,Kurt Vonnegut Jr.,4.10,"['Fiction', 'Science Fiction', 'Classics', 'Historical Fiction', 'War', 'Literature', 'Novels']"
Water for Elephants,Sara Gruen,4.11,"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary']"
The Bell Jar,Sylvia Plath,4.06,"['Fiction', 'Feminism', 'Mental Health', 'Psychology', 'Literature', 'Literary Fiction', 'Novels']"
Matilda,Roald Dahl,4.33,"['Fiction', 'Childrens', 'Fantasy', 'Middle Grade', 'Young Adult', 'Classics', 'Audiobook']"
The Stand,Stephen        King,4.35,"['Horror', 'Fiction', 'Fantasy', 'Science Fiction', 'Post Apocalyptic', 'Thriller', 'Dystopia']"
Catch-22,Joseph Heller,3.99,"['Classics', 'Fiction', 'Historical Fiction', 'War', 'Humor', 'Literature', 'Novels']"
